case_id,parameter,estimate,lower,upper,transform,near_bound,status,interpretation,analysis_status,checkpoint_sha256
baseline,psi_child,0.2827035668649932,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
baseline,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee
beta_annual_minus,beta_annual,0.9951823386077664,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,psi_child,0.2827035668649932,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_minus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2
beta_annual_plus,beta_annual,0.9953708285255517,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,psi_child,0.2827035668649932,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
beta_annual_plus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1
kappa_fert_minus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,kappa_fert,2.124809578462979,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,psi_child,0.2793098670550113,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_minus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75
kappa_fert_plus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,kappa_fert,2.2115365000328966,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,psi_child,0.2860750278110019,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_plus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc
kappa_fert_continuation_minus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,kappa_fert_continuation,1.7353551744773008,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,psi_child,0.28930446958082384,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_minus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0
kappa_fert_continuation_plus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,kappa_fert_continuation,1.806185997925354,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,chi,1.0537270178404272,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,H0,8.43484407788035,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,theta0,0.570349890219075,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,theta1,0.10372395059042462,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,h_P,0.7168500088318734,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,hbar_child_rooms,0.0,,,,False,zero restriction,,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,psi_child,0.2760197491928827,,,,False,normalized to 2.1,,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,payroll_tax,0.179,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,pension_period,2.0463613896121218,,,,False,budget derived,,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,housing_supply_elasticity,0.63,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,tenure_choice_kappa,0.005,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,alpha_cons,0.733,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
kappa_fert_continuation_plus,sigma,2.0,,,,False,externally fixed,,saved diagnostic input; not a selected calibrated estimate,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348
chi_minus,beta_annual,0.9952765791045264,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
chi_minus,chi,1.0326524774836185,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,saved diagnostic input; not a selected calibrated estimate,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4
